Total Swap Size,.1.3.6.1.4.1.2021.4.3.0,Memory
Available Swap Space,.1.3.6.1.4.1.2021.4.4.0,Memory
Total RAM in machine,.1.3.6.1.4.1.2021.4.5.0,Memory
Total RAM used,.1.3.6.1.4.1.2021.4.6.0,Memory
Total RAM Free,.1.3.6.1.4.1.2021.4.11.0,Memory
Total RAM Shared,.1.3.6.1.4.1.2021.4.13.0,Memory
Total RAM Buffered,.1.3.6.1.4.1.2021.4.14.0,Memory
Total Cached Memory,.1.3.6.1.4.1.2021.4.15.0,Memory
Path where the disk is mounted,.1.3.6.1.4.1.2021.9.1.2.1,BADDisk
Path of the device for the partition,.1.3.6.1.4.1.2021.9.1.3.1,BADDisk
Total size of the disk/partion (kBytes),.1.3.6.1.4.1.2021.9.1.6.1,BADDisk
Available space on the disk,.1.3.6.1.4.1.2021.9.1.7.1,BADDisk
Used space on the disk,.1.3.6.1.4.1.2021.9.1.8.1,BADDisk
Percentage of space used on disk,.1.3.6.1.4.1.2021.9.1.9.1,BADDisk
Percentage of inodes used on disk,.1.3.6.1.4.1.2021.9.1.10.1,BADDisk
1 minute Load,.1.3.6.1.4.1.2021.10.1.3.1,Load
5 minute Load,.1.3.6.1.4.1.2021.10.1.3.2,Load
15 minute Load,.1.3.6.1.4.1.2021.10.1.3.3,Load
percentage of user CPU time,.1.3.6.1.4.1.2021.11.9.0,CPU
raw user cpu time,.1.3.6.1.4.1.2021.11.50.0,CPU
percentages of system CPU time,.1.3.6.1.4.1.2021.11.10.0,CPU
raw system cpu time,.1.3.6.1.4.1.2021.11.52.0,CPU
percentages of idle CPU time,.1.3.6.1.4.1.2021.11.11.0,CPU
raw idle cpu time,.1.3.6.1.4.1.2021.11.53.0,CPU
raw nice cpu time,.1.3.6.1.4.1.2021.11.51.0,CPU
diskIOIndex,.1.3.6.1.4.1.2021.13.15.1.1.1,NewDisk
diskIODevice,.1.3.6.1.4.1.2021.13.15.1.1.2,NewDisk
diskIONRead,.1.3.6.1.4.1.2021.13.15.1.1.3,NewDisk
diskIONWritten,.1.3.6.1.4.1.2021.13.15.1.1.4,NewDisk
diskIOReads,.1.3.6.1.4.1.2021.13.15.1.1.5,NewDisk
diskIOLoadAvg1min,.1.3.6.1.4.1.2021.13.15.1.1.6,NewDisk
diskIOLoadAvg5min,.1.3.6.1.4.1.2021.13.15.1.1.9,NewDisk
diskIOLoadAvg15min,.1.3.6.1.4.1.2021.13.15.1.1.10,NewDisk
diskIOReads,.1.3.6.1.4.1.2021.13.15.1.1.11,NewDisk
diskIONReadX,.1.3.6.1.4.1.2021.13.15.1.1.12,NewDisk
diskIONWrittenX,.1.3.6.1.4.1.2021.13.15.1.1.13,NewDisk
